Data/Hora,Segundos,Sensor1,Sensor2,Sensor3
2024-11-26 18:31:02,0.00,125.00,125.50,125.25
2024-11-26 18:31:12,10.08,124.75,125.00,126.25
2024-11-26 18:31:22,20.16,124.75,125.00,126.00
2024-11-26 18:31:32,30.25,125.25,125.25,126.25
2024-11-26 18:31:42,40.33,124.75,125.25,126.00
2024-11-26 18:31:52,50.37,124.50,125.25,126.25
2024-11-26 18:32:02,60.40,125.25,124.75,126.25
2024-11-26 18:32:13,70.43,124.75,125.25,126.25
2024-11-26 18:32:23,80.52,124.75,125.50,126.25
2024-11-26 18:32:33,90.54,125.00,125.25,126.75
2024-11-26 18:32:43,100.59,125.25,125.25,126.25
2024-11-26 18:32:53,110.60,124.50,125.00,126.75
2024-11-26 18:33:03,120.63,125.00,124.50,126.75
2024-11-26 18:33:13,130.65,124.75,124.75,126.50
2024-11-26 18:33:23,140.69,125.00,124.50,126.75
2024-11-26 18:33:33,150.70,124.50,125.00,126.75
2024-11-26 18:33:43,160.73,124.75,124.25,126.50
2024-11-26 18:33:53,170.80,124.50,124.75,126.50
2024-11-26 18:34:03,180.87,124.25,124.50,126.75
2024-11-26 18:34:13,190.89,124.75,124.25,126.25
2024-11-26 18:34:23,200.92,124.50,124.00,126.25
2024-11-26 18:34:33,210.96,124.25,124.25,126.50
2024-11-26 18:34:43,220.99,124.00,124.50,126.00
2024-11-26 18:34:53,231.01,124.25,124.25,126.00
2024-11-26 18:35:03,241.04,124.75,124.00,126.25
2024-11-26 18:35:13,251.09,124.75,124.00,126.25
2024-11-26 18:35:23,261.11,124.50,123.50,126.00
2024-11-26 18:35:33,271.19,124.25,124.00,126.25
2024-11-26 18:35:43,281.19,124.25,123.50,126.50
2024-11-26 18:35:53,291.27,124.00,123.75,126.25
2024-11-26 18:36:03,301.36,124.25,123.75,126.50
2024-11-26 18:36:13,311.40,124.00,123.50,126.50
2024-11-26 18:36:24,321.43,123.75,123.50,126.25
2024-11-26 18:36:34,331.46,124.00,123.50,125.50
2024-11-26 18:36:44,341.47,123.50,123.50,126.00
2024-11-26 18:36:54,351.53,123.50,123.25,125.75
2024-11-26 18:37:04,361.54,123.50,123.25,125.75
2024-11-26 18:37:14,371.55,123.50,123.00,125.75
2024-11-26 18:37:24,381.57,123.75,123.25,125.75
2024-11-26 18:37:34,391.62,123.75,123.25,125.50
2024-11-26 18:37:44,401.63,123.75,123.25,125.75
2024-11-26 18:37:54,411.64,123.75,123.25,125.50
2024-11-26 18:38:04,421.67,123.50,123.25,125.50
2024-11-26 18:38:14,431.72,123.75,123.25,125.75
2024-11-26 18:38:24,441.76,123.75,123.25,125.50
2024-11-26 18:38:34,451.79,123.75,123.25,125.25
2024-11-26 18:38:44,461.79,123.50,123.00,124.75
2024-11-26 18:38:54,471.85,123.75,123.25,125.25
2024-11-26 18:39:04,481.87,123.75,123.75,125.50
2024-11-26 18:39:14,491.91,123.75,123.75,125.25
2024-11-26 18:39:24,501.98,123.75,124.00,125.25
2024-11-26 18:39:34,512.00,123.75,123.75,125.50
2024-11-26 18:39:44,522.02,124.00,124.00,125.75
2024-11-26 18:39:54,532.06,124.25,124.25,125.75
2024-11-26 18:40:04,542.08,123.75,123.50,125.00
2024-11-26 18:40:14,552.11,123.75,124.50,125.75
2024-11-26 18:40:24,562.15,124.00,124.75,125.75
2024-11-26 18:40:34,572.16,124.25,124.50,125.75
2024-11-26 18:40:44,582.19,124.75,124.75,126.00
2024-11-26 18:40:54,592.21,124.50,124.50,126.25
2024-11-26 18:41:04,602.28,124.75,124.75,126.25
2024-11-26 18:41:14,612.29,124.75,124.75,126.25
2024-11-26 18:41:24,622.37,124.00,124.75,125.75
2024-11-26 18:41:34,632.42,124.50,125.00,126.50
2024-11-26 18:41:45,642.49,124.75,125.00,126.50
2024-11-26 18:41:55,652.56,124.50,125.00,126.25
2024-11-26 18:42:05,662.60,124.50,124.75,126.25
2024-11-26 18:42:15,672.61,124.75,124.75,126.50
2024-11-26 18:42:25,682.66,124.75,124.50,126.25
2024-11-26 18:42:35,692.69,124.50,125.00,126.50
2024-11-26 18:42:45,702.77,124.50,125.00,126.50
2024-11-26 18:42:55,712.80,124.00,124.50,126.25
2024-11-26 18:43:05,722.85,124.25,125.00,126.25
2024-11-26 18:43:15,732.95,124.75,125.00,126.25
2024-11-26 18:43:25,742.98,124.50,124.75,126.50
2024-11-26 18:43:35,752.98,124.50,124.25,126.75
2024-11-26 18:43:45,763.05,124.50,124.75,126.00
2024-11-26 18:43:55,773.06,124.75,124.75,126.50
2024-11-26 18:44:05,783.09,124.50,124.25,126.25
2024-11-26 18:44:15,793.14,124.50,124.75,126.50
2024-11-26 18:44:25,803.23,125.00,124.25,126.25
2024-11-26 18:44:35,813.26,124.25,124.75,126.25
2024-11-26 18:44:45,823.29,124.75,124.75,126.50
2024-11-26 18:44:55,833.31,124.75,124.25,126.00
2024-11-26 18:45:05,843.33,124.75,124.75,126.50
2024-11-26 18:45:15,853.34,124.25,125.00,125.75
2024-11-26 18:45:25,863.38,124.25,124.75,126.75
2024-11-26 18:45:36,873.44,124.75,124.25,126.00
2024-11-26 18:45:46,883.46,124.75,124.50,126.50
2024-11-26 18:45:56,893.51,125.00,125.00,126.75
2024-11-26 18:46:06,903.52,124.50,124.75,126.50
2024-11-26 18:46:16,913.61,125.00,125.25,126.75
2024-11-26 18:46:26,923.67,124.50,124.75,126.75
2024-11-26 18:46:36,933.68,124.50,124.75,126.75
2024-11-26 18:46:46,943.70,125.00,125.00,126.50
2024-11-26 18:46:56,953.74,124.50,125.00,126.75
2024-11-26 18:47:06,963.81,125.00,125.50,126.50
2024-11-26 18:47:16,973.87,125.00,124.50,126.75
2024-11-26 18:47:26,983.90,125.00,125.25,125.75
2024-11-26 18:47:36,993.94,124.50,125.00,126.50
2024-11-26 18:47:46,1003.94,125.00,125.25,126.50
2024-11-26 18:47:56,1013.96,124.50,125.25,126.50
2024-11-26 18:48:06,1023.99,125.50,125.00,127.00
2024-11-26 18:48:16,1034.03,124.25,125.25,126.50
2024-11-26 18:48:26,1044.06,125.00,125.00,126.75
2024-11-26 18:48:36,1054.08,125.00,125.25,126.25
2024-11-26 18:48:46,1064.10,124.75,125.00,126.25
2024-11-26 18:48:56,1074.15,125.00,124.50,126.75
2024-11-26 18:49:06,1084.16,125.00,125.00,126.75
2024-11-26 18:49:16,1094.19,124.75,124.50,126.75
2024-11-26 18:49:26,1104.20,125.25,124.75,126.25
2024-11-26 18:49:36,1114.22,125.00,124.75,126.50
2024-11-26 18:49:46,1124.24,124.75,124.50,126.25
2024-11-26 18:49:56,1134.28,124.75,124.75,126.50
2024-11-26 18:50:06,1144.31,125.00,124.75,126.75
2024-11-26 18:50:16,1154.34,124.75,124.25,126.00
2024-11-26 18:50:26,1164.35,124.50,124.50,126.75
2024-11-26 18:50:36,1174.37,124.50,124.25,126.75
2024-11-26 18:50:47,1184.44,124.50,124.25,126.25
2024-11-26 18:50:57,1194.52,124.50,124.50,126.50
2024-11-26 18:51:07,1204.56,124.75,123.50,126.50
2024-11-26 18:51:17,1214.56,124.00,123.75,126.75
2024-11-26 18:51:27,1224.60,124.50,123.50,126.75
2024-11-26 18:51:37,1234.65,124.00,124.25,126.50
2024-11-26 18:51:47,1244.65,124.25,124.00,126.50
2024-11-26 18:51:57,1254.69,124.00,123.50,126.50
2024-11-26 18:52:07,1264.70,124.00,123.50,126.00
2024-11-26 18:52:17,1274.73,124.25,123.50,126.50
2024-11-26 18:52:27,1284.77,124.25,123.50,126.00
