Tempo (s)	Sensor1	Sensor2	Sensor3
0.0	125.0	125.5	125.25
10.0	124.75	125.0	126.25
20.0	124.75	125.0	126.0
30.0	125.25	125.25	126.25
40.0	124.75	125.25	126.0
50.0	124.5	125.25	126.25
60.0	125.25	124.75	126.25
71.0	124.75	125.25	126.25
81.0	124.75	125.5	126.25
91.0	125.0	125.25	126.75
101.0	125.25	125.25	126.25
111.0	124.5	125.0	126.75
121.0	125.0	124.5	126.75
131.0	124.75	124.75	126.5
141.0	125.0	124.5	126.75
151.0	124.5	125.0	126.75
161.0	124.75	124.25	126.5
171.0	124.5	124.75	126.5
181.0	124.25	124.5	126.75
191.0	124.75	124.25	126.25
201.0	124.5	124.0	126.25
211.0	124.25	124.25	126.5
221.0	124.0	124.5	126.0
231.0	124.25	124.25	126.0
241.0	124.75	124.0	126.25
251.0	124.75	124.0	126.25
261.0	124.5	123.5	126.0
271.0	124.25	124.0	126.25
281.0	124.25	123.5	126.5
291.0	124.0	123.75	126.25
301.0	124.25	123.75	126.5
311.0	124.0	123.5	126.5
322.0	123.75	123.5	126.25
332.0	124.0	123.5	125.5
342.0	123.5	123.5	126.0
352.0	123.5	123.25	125.75
362.0	123.5	123.25	125.75
372.0	123.5	123.0	125.75
382.0	123.75	123.25	125.75
392.0	123.75	123.25	125.5
402.0	123.75	123.25	125.75
412.0	123.75	123.25	125.5
422.0	123.5	123.25	125.5
432.0	123.75	123.25	125.75
442.0	123.75	123.25	125.5
452.0	123.75	123.25	125.25
462.0	123.5	123.0	124.75
472.0	123.75	123.25	125.25
482.0	123.75	123.75	125.5
492.0	123.75	123.75	125.25
502.0	123.75	124.0	125.25
512.0	123.75	123.75	125.5
522.0	124.0	124.0	125.75
532.0	124.25	124.25	125.75
542.0	123.75	123.5	125.0
552.0	123.75	124.5	125.75
562.0	124.0	124.75	125.75
572.0	124.25	124.5	125.75
582.0	124.75	124.75	126.0
592.0	124.5	124.5	126.25
602.0	124.75	124.75	126.25
612.0	124.75	124.75	126.25
622.0	124.0	124.75	125.75
632.0	124.5	125.0	126.5
643.0	124.75	125.0	126.5
653.0	124.5	125.0	126.25
663.0	124.5	124.75	126.25
673.0	124.75	124.75	126.5
683.0	124.75	124.5	126.25
693.0	124.5	125.0	126.5
703.0	124.5	125.0	126.5
713.0	124.0	124.5	126.25
723.0	124.25	125.0	126.25
733.0	124.75	125.0	126.25
743.0	124.5	124.75	126.5
753.0	124.5	124.25	126.75
763.0	124.5	124.75	126.0
773.0	124.75	124.75	126.5
783.0	124.5	124.25	126.25
793.0	124.5	124.75	126.5
803.0	125.0	124.25	126.25
813.0	124.25	124.75	126.25
823.0	124.75	124.75	126.5
833.0	124.75	124.25	126.0
843.0	124.75	124.75	126.5
853.0	124.25	125.0	125.75
863.0	124.25	124.75	126.75
874.0	124.75	124.25	126.0
884.0	124.75	124.5	126.5
894.0	125.0	125.0	126.75
904.0	124.5	124.75	126.5
914.0	125.0	125.25	126.75
924.0	124.5	124.75	126.75
934.0	124.5	124.75	126.75
944.0	125.0	125.0	126.5
954.0	124.5	125.0	126.75
964.0	125.0	125.5	126.5
974.0	125.0	124.5	126.75
984.0	125.0	125.25	125.75
994.0	124.5	125.0	126.5
1004.0	125.0	125.25	126.5
1014.0	124.5	125.25	126.5
1024.0	125.5	125.0	127.0
1034.0	124.25	125.25	126.5
1044.0	125.0	125.0	126.75
1054.0	125.0	125.25	126.25
1064.0	124.75	125.0	126.25
1074.0	125.0	124.5	126.75
1084.0	125.0	125.0	126.75
1094.0	124.75	124.5	126.75
1104.0	125.25	124.75	126.25
1114.0	125.0	124.75	126.5
1124.0	124.75	124.5	126.25
1134.0	124.75	124.75	126.5
1144.0	125.0	124.75	126.75
1154.0	124.75	124.25	126.0
1164.0	124.5	124.5	126.75
1174.0	124.5	124.25	126.75
1185.0	124.5	124.25	126.25
1195.0	124.5	124.5	126.5
1205.0	124.75	123.5	126.5
1215.0	124.0	123.75	126.75
1225.0	124.5	123.5	126.75
1235.0	124.0	124.25	126.5
1245.0	124.25	124.0	126.5
1255.0	124.0	123.5	126.5
1265.0	124.0	123.5	126.0
1275.0	124.25	123.5	126.5
1285.0	124.25	123.5	126.0
1295.0	124.25	123.75	126.5
1305.0	124.0	123.75	126.0
1315.0	123.75	123.5	125.75
1325.0	124.0	122.75	126.25
1335.0	123.75	123.5	126.0
1345.0	123.75	123.75	125.5
1355.0	123.75	123.25	125.5
1365.0	124.0	123.25	126.0
1375.0	124.0	124.0	126.0
1385.0	124.25	124.0	126.0
1395.0	123.5	123.75	125.5
1405.0	124.0	123.75	126.25
1415.0	124.25	124.0	126.0
1425.0	124.25	124.0	126.25
1436.0	124.0	124.25	126.0
1446.0	123.25	124.25	126.25
1456.0	124.25	124.5	125.25
1466.0	124.25	124.75	125.75
1476.0	124.5	124.75	126.0
1486.0	124.0	125.25	126.0
1496.0	125.0	125.0	125.5
1506.0	124.75	125.0	126.0
1516.0	124.75	125.25	125.75
1526.0	124.75	124.75	126.25
1536.0	124.75	125.25	126.25
1546.0	125.25	124.5	126.5
1556.0	125.0	125.25	126.5
1566.0	125.0	124.75	126.0
1576.0	124.75	125.25	126.5
1586.0	125.25	125.25	126.5
1596.0	125.25	125.0	126.5
1606.0	125.25	125.0	126.5
1616.0	125.25	125.0	126.75
1626.0	125.0	125.25	127.0
1636.0	125.0	124.75	126.25
1646.0	125.0	125.0	126.75
1656.0	125.0	125.0	126.75
1666.0	125.25	124.5	126.5
1676.0	124.5	124.75	126.75
1687.0	125.0	124.75	126.75
1697.0	125.0	124.5	126.75
1707.0	124.75	124.75	126.75
1717.0	125.0	124.5	126.75
1727.0	124.5	124.75	126.5
1737.0	124.75	124.5	127.0
1747.0	124.5	124.5	126.5
1757.0	124.0	124.5	126.25
1767.0	124.75	124.0	126.0
1777.0	124.75	124.25	126.75
1787.0	124.75	124.25	126.25
1797.0	124.75	124.25	126.0
1807.0	124.5	124.25	126.75
1817.0	124.75	124.0	126.5
1827.0	124.25	123.5	126.0
1837.0	124.5	123.5	126.5
1847.0	124.0	124.0	126.5
1857.0	124.5	123.5	125.75
1867.0	124.25	123.75	125.75
1877.0	123.75	124.0	126.25
1887.0	123.75	123.5	126.25
1897.0	123.75	123.5	126.0
1907.0	123.5	123.75	125.75
1917.0	124.5	123.75	125.75
1928.0	124.25	123.5	126.0
1938.0	124.0	124.0	125.5
1948.0	123.75	123.75	126.0
1958.0	124.5	123.75	126.0
1968.0	124.0	124.0	125.75
1978.0	124.0	124.75	126.0
1988.0	124.5	124.25	126.0
1998.0	124.25	124.75	126.0
2008.0	124.5	124.5	126.25
2018.0	124.0	124.75	126.25
2028.0	124.5	124.25	125.75
2038.0	124.75	124.75	126.25
2048.0	124.5	124.5	126.25
2058.0	124.25	125.0	126.25
2068.0	124.75	124.75	126.25
2078.0	124.5	125.25	126.5
2088.0	124.5	125.5	126.25
2098.0	124.5	125.0	126.25
2108.0	124.5	125.5	125.25
2118.0	124.0	125.5	126.5
2128.0	125.0	125.25	126.25
2138.0	125.0	125.25	126.5
2148.0	124.75	125.25	126.75
2159.0	125.0	124.75	126.5
2169.0	124.25	124.75	126.75
2179.0	124.0	124.5	126.0
2189.0	125.0	124.5	126.75
2199.0	125.0	125.25	126.25
2209.0	125.25	124.75	126.75
2219.0	124.75	125.25	126.25
2229.0	124.75	125.0	126.25
2239.0	124.75	125.0	126.75
2249.0	125.25	124.75	126.5
2259.0	124.5	124.75	126.5
2269.0	125.0	125.0	126.75
2279.0	125.0	124.5	126.25
2289.0	124.75	124.75	126.75
2299.0	124.75	124.75	126.75
2309.0	124.75	124.75	126.75
2319.0	125.0	125.0	126.5
2329.0	125.0	124.75	127.0
2339.0	124.75	124.75	126.25
2349.0	124.5	124.5	126.75
2359.0	124.75	125.0	126.75
2369.0	124.25	124.75	126.5
2379.0	125.0	124.5	126.75
2389.0	124.75	125.0	126.5
2399.0	124.5	125.0	126.0
2409.0	124.75	125.0	126.5
2420.0	125.0	124.5	126.5
2430.0	125.0	125.25	127.0
2440.0	124.75	125.25	126.5
2450.0	125.0	125.25	126.5
2460.0	125.0	125.0	126.5
2470.0	124.25	125.25	127.0
2480.0	125.0	125.0	126.75
2490.0	125.25	124.75	126.75
2500.0	125.25	124.75	126.75
2510.0	125.0	124.75	126.75
2520.0	125.0	124.25	126.5
2530.0	124.75	125.0	126.75
2540.0	125.0	125.25	126.75
2550.0	124.75	125.0	127.0
2560.0	124.75	125.0	126.75
2570.0	125.25	125.25	127.0
2580.0	125.0	125.0	126.75
2590.0	124.5	124.75	126.75
2600.0	124.75	125.0	126.75
2610.0	125.25	124.75	126.25
2620.0	124.25	124.75	127.0
2631.0	125.25	124.75	126.5
2641.0	124.75	124.75	126.75
2651.0	125.0	125.0	126.5
2661.0	124.75	125.0	126.25
2671.0	124.5	124.5	126.5
2681.0	125.0	124.75	126.5
2691.0	125.0	125.0	126.5
2701.0	124.25	124.75	127.0
2711.0	124.75	125.0	127.0
2721.0	125.25	124.75	126.75
2731.0	125.0	125.0	127.0
2741.0	124.75	125.25	127.0
2751.0	125.0	125.5	126.75
2761.0	124.75	125.25	127.0
2771.0	125.0	125.5	127.0
2781.0	125.0	125.5	127.0
2791.0	125.5	124.5	126.75
2801.0	125.5	125.0	127.25
2811.0	125.0	125.0	127.0
2821.0	125.25	125.5	126.5
2831.0	124.75	125.0	127.25
2841.0	125.25	125.0	127.25
2851.0	125.5	125.5	127.25
2861.0	125.25	125.0	127.25
2871.0	125.25	124.75	126.75
2881.0	125.0	125.5	127.25
2891.0	125.25	125.25	126.75
2902.0	125.25	125.0	126.75
2912.0	125.5	125.5	127.0
2922.0	125.25	125.0	127.0
2932.0	125.0	125.25	127.0
2942.0	125.0	125.5	126.75
2952.0	125.0	125.0	127.0
2962.0	125.25	125.5	127.0
2972.0	125.0	125.25	127.0
2982.0	125.25	124.75	126.75
2992.0	125.5	125.25	127.0
3002.0	125.0	125.0	127.0
3012.0	125.5	124.75	127.25
3022.0	125.25	125.0	127.0
3032.0	125.5	125.0	127.25
3042.0	125.25	125.25	126.75
3052.0	125.25	125.0	127.25
3062.0	125.0	124.75	127.0
3072.0	124.75	125.0	127.0
3082.0	125.25	124.5	126.75
3092.0	125.25	125.0	127.0
3102.0	125.25	124.75	127.25
3112.0	125.0	124.75	127.5
3122.0	125.25	125.25	126.75
3132.0	125.25	125.0	127.25
3142.0	125.25	125.75	126.75
3152.0	125.25	125.5	127.25
3162.0	125.25	125.75	127.25
3172.0	125.0	124.75	127.5
3182.0	125.25	125.0	127.5
3192.0	125.25	124.75	127.5
3202.0	125.25	125.5	127.5
3212.0	125.5	125.75	127.0
3222.0	125.5	125.5	127.25
3233.0	125.75	105.5	126.75
3243.0	125.5	35.5	127.0
3253.0	125.75	33.75	126.75
3263.0	125.75	33.0	126.25
