Data/Hora,Segundos,Sensor1,Sensor2,Sensor3
2024-11-25 13:12:59,0.00,26.50,0.00,0.00
2024-11-25 13:13:04,5.08,26.50,0.00,0.00
2024-11-25 13:13:09,10.17,26.25,0.00,0.00
2024-11-25 13:13:14,15.19,26.50,0.00,0.00
2024-11-25 13:13:19,20.19,26.25,0.00,0.00
2024-11-25 13:13:24,25.28,26.50,0.00,0.00
2024-11-25 13:13:29,30.32,27.00,0.00,0.00
2024-11-25 13:13:34,35.42,27.25,0.00,0.00
2024-11-25 13:13:39,40.45,27.25,0.00,0.00
2024-11-25 13:13:44,45.54,27.75,0.00,0.00
2024-11-25 13:13:49,50.60,27.00,0.00,0.00
2024-11-25 13:13:54,55.61,28.00,0.00,0.00
2024-11-25 13:13:59,60.70,27.25,0.00,0.00
2024-11-25 13:14:04,65.77,28.00,0.00,0.00
2024-11-25 13:14:09,70.85,28.50,0.00,0.00
2024-11-25 13:14:14,75.91,28.75,0.00,0.00
2024-11-25 13:14:20,80.95,29.25,0.00,0.00
2024-11-25 13:14:25,86.03,29.25,0.00,0.00
2024-11-25 13:14:30,91.05,29.50,0.00,0.00
2024-11-25 13:14:35,96.08,29.50,0.00,0.00
2024-11-25 13:14:40,101.17,30.00,0.00,0.00
2024-11-25 13:14:45,106.19,30.00,0.00,0.00
2024-11-25 13:14:50,111.23,30.25,0.00,0.00
2024-11-25 13:14:55,116.30,31.00,0.00,0.00
2024-11-25 13:15:00,121.32,31.00,0.00,0.00
2024-11-25 13:15:05,126.34,31.50,0.00,0.00
2024-11-25 13:15:10,131.44,31.25,0.00,0.00
2024-11-25 13:15:15,136.48,32.00,0.00,0.00
2024-11-25 13:15:20,141.56,32.00,0.00,0.00
2024-11-25 13:15:25,146.65,32.50,0.00,0.00
2024-11-25 13:15:30,151.67,32.25,0.00,0.00
2024-11-25 13:15:35,156.70,33.25,0.00,0.00
2024-11-25 13:15:40,161.71,33.00,0.00,0.00
2024-11-25 13:15:45,166.74,33.00,0.00,0.00
2024-11-25 13:15:50,171.83,33.25,0.00,0.00
2024-11-25 13:15:55,176.86,34.25,0.00,0.00
2024-11-25 13:16:01,181.96,34.25,0.00,0.00
2024-11-25 13:16:06,187.05,34.00,0.00,0.00
2024-11-25 13:16:11,192.08,34.50,0.00,0.00
2024-11-25 13:16:16,197.11,35.25,0.00,0.00
2024-11-25 13:16:21,202.21,35.25,0.00,0.00
2024-11-25 13:16:26,207.27,35.50,0.00,0.00
2024-11-25 13:16:31,212.33,35.75,0.00,0.00
2024-11-25 13:16:36,217.34,36.00,0.00,0.00
2024-11-25 13:16:41,222.34,36.25,0.00,0.00
2024-11-25 13:16:46,227.35,36.25,0.00,0.00
2024-11-25 13:16:51,232.38,36.50,0.00,0.00
2024-11-25 13:16:56,237.47,37.00,0.00,0.00
2024-11-25 13:17:01,242.48,37.50,0.00,0.00
2024-11-25 13:17:06,247.49,37.25,0.00,0.00
2024-11-25 13:17:11,252.50,37.75,0.00,0.00
2024-11-25 13:17:16,257.51,38.50,0.00,0.00
2024-11-25 13:17:21,262.59,38.25,0.00,0.00
2024-11-25 13:17:26,267.63,38.50,0.00,0.00
2024-11-25 13:17:31,272.64,38.75,0.00,0.00
2024-11-25 13:17:36,277.65,39.25,0.00,0.00
2024-11-25 13:17:41,282.67,40.00,0.00,0.00
2024-11-25 13:17:46,287.77,40.00,0.00,0.00
2024-11-25 13:17:51,292.82,40.50,0.00,0.00
2024-11-25 13:17:56,297.82,40.75,0.00,0.00
2024-11-25 13:18:01,302.82,41.00,0.00,0.00
2024-11-25 13:18:06,307.92,41.50,0.00,0.00
2024-11-25 13:18:12,312.96,42.00,0.00,0.00
2024-11-25 13:18:17,318.04,42.25,0.00,0.00
2024-11-25 13:18:22,323.08,42.50,0.00,0.00
2024-11-25 13:18:27,328.17,42.50,0.00,0.00
2024-11-25 13:18:32,333.19,43.00,0.00,0.00
2024-11-25 13:18:37,338.24,43.75,0.00,0.00
2024-11-25 13:18:42,343.25,44.25,0.00,0.00
2024-11-25 13:18:47,348.32,44.25,0.00,0.00
2024-11-25 13:18:52,353.40,44.75,0.00,0.00
2024-11-25 13:18:57,358.45,45.25,0.00,0.00
2024-11-25 13:19:02,363.46,45.75,0.00,0.00
2024-11-25 13:19:07,368.55,46.25,0.00,0.00
2024-11-25 13:19:12,373.57,46.50,0.00,0.00
2024-11-25 13:19:17,378.58,46.50,0.00,0.00
2024-11-25 13:19:22,383.62,47.25,0.00,0.00
2024-11-25 13:19:27,388.71,47.25,0.00,0.00
2024-11-25 13:19:32,393.72,48.00,0.00,0.00
