Data/Hora,Segundos,Sensor1,Sensor2,Sensor3
2024-11-25 15:13:34,0.00,103.50,0.00,0.00
2024-11-25 15:13:39,5.04,103.75,0.00,0.00
2024-11-25 15:13:44,10.13,103.25,0.00,0.00
2024-11-25 15:13:50,15.23,103.00,0.00,0.00
2024-11-25 15:13:55,20.29,102.75,0.00,0.00
2024-11-25 15:14:00,25.35,103.00,0.00,0.00
2024-11-25 15:14:05,30.38,102.50,0.00,0.00
2024-11-25 15:14:10,35.38,103.00,0.00,0.00
2024-11-25 15:14:15,40.43,102.50,0.00,0.00
2024-11-25 15:14:20,45.50,102.50,0.00,0.00
2024-11-25 15:14:25,50.56,102.50,0.00,0.00
2024-11-25 15:14:30,55.64,102.50,0.00,0.00
2024-11-25 15:14:35,60.65,102.00,0.00,0.00
2024-11-25 15:14:40,65.68,102.00,0.00,0.00
2024-11-25 15:14:45,70.76,102.00,0.00,0.00
2024-11-25 15:14:50,75.80,102.00,0.00,0.00
2024-11-25 15:14:55,80.80,102.00,0.00,0.00
2024-11-25 15:15:00,85.82,101.75,0.00,0.00
2024-11-25 15:15:05,90.85,101.75,0.00,0.00
2024-11-25 15:15:10,95.91,101.75,0.00,0.00
2024-11-25 15:15:15,100.91,101.50,0.00,0.00
2024-11-25 15:15:20,105.92,101.50,0.00,0.00
2024-11-25 15:15:25,110.94,101.25,0.00,0.00
2024-11-25 15:15:30,115.95,101.50,0.00,0.00
2024-11-25 15:15:35,120.96,101.25,0.00,0.00
2024-11-25 15:15:40,125.97,101.25,0.00,0.00
2024-11-25 15:15:45,130.97,100.75,0.00,0.00
2024-11-25 15:15:50,136.01,101.00,0.00,0.00
2024-11-25 15:15:55,141.03,101.00,0.00,0.00
2024-11-25 15:16:00,146.08,100.75,0.00,0.00
2024-11-25 15:16:05,151.13,100.25,0.00,0.00
2024-11-25 15:16:11,156.16,100.75,0.00,0.00
2024-11-25 15:16:16,161.16,100.00,0.00,0.00
2024-11-25 15:16:21,166.19,100.50,0.00,0.00
2024-11-25 15:16:26,171.20,100.75,0.00,0.00
2024-11-25 15:16:31,176.28,100.25,0.00,0.00
2024-11-25 15:16:36,181.30,99.75,0.00,0.00
2024-11-25 15:16:41,186.33,100.00,0.00,0.00
2024-11-25 15:16:46,191.35,99.50,0.00,0.00
2024-11-25 15:16:51,196.44,100.25,0.00,0.00
2024-11-25 15:16:56,201.44,99.75,0.00,0.00
2024-11-25 15:17:01,206.46,99.50,0.00,0.00
2024-11-25 15:17:06,211.48,99.50,0.00,0.00
2024-11-25 15:17:11,216.57,99.25,0.00,0.00
2024-11-25 15:17:16,221.60,99.25,0.00,0.00
2024-11-25 15:17:21,226.69,99.50,0.00,0.00
2024-11-25 15:17:26,231.73,99.00,0.00,0.00
2024-11-25 15:17:31,236.81,99.25,0.00,0.00
2024-11-25 15:17:36,241.83,99.00,0.00,0.00
2024-11-25 15:17:41,246.84,98.50,0.00,0.00
2024-11-25 15:17:46,251.85,98.75,0.00,0.00
2024-11-25 15:17:51,256.86,98.75,0.00,0.00
2024-11-25 15:17:56,261.87,98.25,0.00,0.00
2024-11-25 15:18:01,266.90,98.00,0.00,0.00
2024-11-25 15:18:06,271.98,98.50,0.00,0.00
2024-11-25 15:18:11,277.01,98.00,0.00,0.00
2024-11-25 15:18:16,282.11,98.25,0.00,0.00
2024-11-25 15:18:21,287.14,98.25,0.00,0.00
2024-11-25 15:18:27,292.23,97.75,0.00,0.00
2024-11-25 15:18:32,297.31,98.00,0.00,0.00
2024-11-25 15:18:37,302.38,97.75,0.00,0.00
2024-11-25 15:18:42,307.47,97.25,0.00,0.00
2024-11-25 15:18:47,312.48,97.75,0.00,0.00
2024-11-25 15:18:52,317.50,97.25,0.00,0.00
2024-11-25 15:18:57,322.51,96.75,0.00,0.00
2024-11-25 15:19:02,327.52,97.50,0.00,0.00
2024-11-25 15:19:07,332.56,97.00,0.00,0.00
2024-11-25 15:19:12,337.65,97.25,0.00,0.00
2024-11-25 15:19:17,342.65,97.25,0.00,0.00
2024-11-25 15:19:22,347.70,97.00,0.00,0.00
2024-11-25 15:19:27,352.78,96.50,0.00,0.00
2024-11-25 15:19:32,357.81,96.25,0.00,0.00
2024-11-25 15:19:37,362.82,96.75,0.00,0.00
2024-11-25 15:19:42,367.83,96.50,0.00,0.00
2024-11-25 15:19:47,372.93,96.75,0.00,0.00
