Tempo (s)	Sensor1	Sensor2	Sensor3
0.0	103.5	0.0	0.0
5.0	103.75	0.0	0.0
10.0	103.25	0.0	0.0
16.0	103.0	0.0	0.0
21.0	102.75	0.0	0.0
26.0	103.0	0.0	0.0
31.0	102.5	0.0	0.0
36.0	103.0	0.0	0.0
41.0	102.5	0.0	0.0
46.0	102.5	0.0	0.0
51.0	102.5	0.0	0.0
56.0	102.5	0.0	0.0
61.0	102.0	0.0	0.0
66.0	102.0	0.0	0.0
71.0	102.0	0.0	0.0
76.0	102.0	0.0	0.0
81.0	102.0	0.0	0.0
86.0	101.75	0.0	0.0
91.0	101.75	0.0	0.0
96.0	101.75	0.0	0.0
101.0	101.5	0.0	0.0
106.0	101.5	0.0	0.0
111.0	101.25	0.0	0.0
116.0	101.5	0.0	0.0
121.0	101.25	0.0	0.0
126.0	101.25	0.0	0.0
131.0	100.75	0.0	0.0
136.0	101.0	0.0	0.0
141.0	101.0	0.0	0.0
146.0	100.75	0.0	0.0
151.0	100.25	0.0	0.0
157.0	100.75	0.0	0.0
162.0	100.0	0.0	0.0
167.0	100.5	0.0	0.0
172.0	100.75	0.0	0.0
177.0	100.25	0.0	0.0
182.0	99.75	0.0	0.0
187.0	100.0	0.0	0.0
192.0	99.5	0.0	0.0
197.0	100.25	0.0	0.0
202.0	99.75	0.0	0.0
207.0	99.5	0.0	0.0
212.0	99.5	0.0	0.0
217.0	99.25	0.0	0.0
222.0	99.25	0.0	0.0
227.0	99.5	0.0	0.0
232.0	99.0	0.0	0.0
237.0	99.25	0.0	0.0
242.0	99.0	0.0	0.0
247.0	98.5	0.0	0.0
252.0	98.75	0.0	0.0
257.0	98.75	0.0	0.0
262.0	98.25	0.0	0.0
267.0	98.0	0.0	0.0
272.0	98.5	0.0	0.0
277.0	98.0	0.0	0.0
282.0	98.25	0.0	0.0
287.0	98.25	0.0	0.0
293.0	97.75	0.0	0.0
298.0	98.0	0.0	0.0
303.0	97.75	0.0	0.0
308.0	97.25	0.0	0.0
313.0	97.75	0.0	0.0
318.0	97.25	0.0	0.0
323.0	96.75	0.0	0.0
328.0	97.5	0.0	0.0
333.0	97.0	0.0	0.0
338.0	97.25	0.0	0.0
343.0	97.25	0.0	0.0
348.0	97.0	0.0	0.0
353.0	96.5	0.0	0.0
358.0	96.25	0.0	0.0
363.0	96.75	0.0	0.0
368.0	96.5	0.0	0.0
373.0	96.75	0.0	0.0
378.0	96.5	0.0	0.0
383.0	96.25	0.0	0.0
388.0	96.5	0.0	0.0
393.0	96.25	0.0	0.0
398.0	96.25	0.0	0.0
403.0	96.25	0.0	0.0
408.0	95.75	0.0	0.0
413.0	96.0	0.0	0.0
418.0	96.0	0.0	0.0
423.0	95.75	0.0	0.0
