Data/Hora,Segundos,Sensor1,Sensor2
2024-11-09 21:41:51,0.00,24.75,28.25
2024-11-09 21:41:52,1.11,25.00,28.25
2024-11-09 21:41:53,2.16,25.00,28.00
2024-11-09 21:41:54,3.22,25.00,28.00
2024-11-09 21:41:56,4.26,25.25,28.00
2024-11-09 21:41:57,5.35,24.75,28.00
2024-11-09 21:41:58,6.36,24.75,28.00
2024-11-09 21:41:59,7.36,25.00,27.75
2024-11-09 21:42:00,8.47,25.25,27.50
2024-11-09 21:42:01,9.56,24.25,28.00
2024-11-09 21:42:02,10.66,24.50,28.25
2024-11-09 21:42:03,11.66,24.75,28.25
2024-11-09 21:42:04,12.76,25.00,27.75
2024-11-09 21:42:05,13.77,25.25,28.00
2024-11-09 21:42:06,14.80,25.00,28.00
2024-11-09 21:42:07,15.83,25.25,28.00
2024-11-09 21:42:08,16.87,25.75,28.25
2024-11-09 21:42:09,17.87,26.00,28.50
2024-11-09 21:42:10,18.88,25.75,29.50
2024-11-09 21:42:11,19.98,26.75,29.75
2024-11-09 21:42:12,21.07,26.75,30.75
2024-11-09 21:42:13,22.17,27.25,30.50
2024-11-09 21:42:15,23.28,28.00,30.50
2024-11-09 21:42:16,24.28,28.00,30.25
2024-11-09 21:42:17,25.28,28.75,30.75
2024-11-09 21:42:18,26.28,28.75,31.00
2024-11-09 21:42:19,27.28,28.75,31.00
2024-11-09 21:42:20,28.29,29.50,31.00
2024-11-09 21:42:21,29.29,29.25,31.00
2024-11-09 21:42:22,30.30,29.75,31.50
2024-11-09 21:42:23,31.34,30.00,31.75
2024-11-09 21:42:24,32.39,30.00,31.25
2024-11-09 21:42:25,33.49,30.50,31.25
2024-11-09 21:42:26,34.50,30.50,31.75
2024-11-09 21:42:27,35.60,30.50,31.75
2024-11-09 21:42:28,36.60,30.75,31.50
2024-11-09 21:42:29,37.70,31.00,31.75
2024-11-09 21:42:30,38.70,31.00,32.00
2024-11-09 21:42:31,39.71,31.25,32.00
2024-11-09 21:42:32,40.81,31.25,32.00
2024-11-09 21:42:33,41.90,31.50,32.25
2024-11-09 21:42:34,42.92,31.25,32.00
2024-11-09 21:42:35,44.01,31.75,32.25
2024-11-09 21:42:36,45.11,31.50,32.25
2024-11-09 21:42:37,46.11,32.00,31.75
2024-11-09 21:42:38,47.15,32.00,32.00
2024-11-09 21:42:39,48.21,32.25,32.25
2024-11-09 21:42:40,49.22,32.00,31.75
2024-11-09 21:42:42,50.23,32.50,32.00
2024-11-09 21:42:43,51.31,32.25,32.00
2024-11-09 21:42:44,52.32,32.00,32.50
2024-11-09 21:42:45,53.32,32.50,32.75
2024-11-09 21:42:46,54.32,32.75,32.25
2024-11-09 21:42:47,55.42,32.75,32.00
2024-11-09 21:42:48,56.42,32.00,32.75
2024-11-09 21:42:49,57.52,32.50,32.25
