Tempo (s)	Sensor1	Sensor2	Sensor3
0.0	25.75	25.25	26.25
10.0	26.25	25.75	25.75
20.0	25.5	25.75	26.25
30.0	26.25	25.25	26.0
40.0	26.25	25.0	25.5
50.0	25.75	25.75	25.5
60.0	25.75	25.5	26.0
70.0	26.0	25.5	25.5
80.0	26.0	25.5	26.0
90.0	25.5	25.5	25.25
100.0	26.0	25.75	25.5
110.0	25.75	25.75	26.0
120.0	25.75	26.0	26.0
130.0	26.0	26.0	26.0
140.0	25.5	26.0	26.0
150.0	26.0	26.75	26.25
160.0	26.25	26.0	25.75
170.0	26.25	26.5	26.0
180.0	26.0	26.75	26.25
191.0	26.0	27.0	26.5
201.0	26.5	27.25	26.0
211.0	26.25	27.75	26.75
221.0	26.75	27.5	27.0
231.0	26.5	28.0	27.0
241.0	26.75	28.25	27.0
251.0	27.0	29.25	27.25
261.0	27.25	29.0	26.5
271.0	27.5	29.75	27.0
281.0	28.0	30.0	27.75
291.0	28.25	30.0	28.0
301.0	28.0	30.75	27.75
311.0	29.0	31.5	28.5
321.0	28.75	31.75	28.25
331.0	29.5	32.5	29.0
341.0	29.5	33.0	28.75
351.0	30.5	33.5	28.75
361.0	30.75	33.75	29.5
371.0	30.75	31.75	29.5
381.0	30.5	32.25	30.25
391.0	30.75	32.75	30.25
401.0	31.25	33.5	31.0
411.0	31.75	33.75	31.25
421.0	31.5	34.25	31.25
431.0	32.5	35.25	31.5
441.0	32.75	35.75	32.5
451.0	33.5	36.25	32.5
462.0	33.25	37.25	33.25
472.0	33.75	37.75	33.25
482.0	34.5	38.5	33.75
492.0	34.5	38.75	33.5
502.0	35.5	39.75	34.75
512.0	36.25	40.5	35.25
522.0	36.5	40.75	35.5
532.0	37.25	41.5	36.0
542.0	37.75	42.25	36.75
552.0	38.25	42.75	37.0
562.0	39.0	43.25	37.25
572.0	39.5	44.0	37.75
582.0	39.75	44.75	38.5
592.0	41.0	45.25	39.25
602.0	41.5	46.0	39.75
612.0	41.75	47.0	39.75
622.0	42.75	47.0	40.75
632.0	43.25	47.75	41.0
