Data/Hora,Segundos,Sensor1,Sensor2
2024-11-11 13:35:26,0.00,17.50,18.00
2024-11-11 13:35:36,10.08,17.25,17.25
2024-11-11 13:35:46,20.10,17.00,17.00
2024-11-11 13:35:56,30.16,16.50,17.25
2024-11-11 13:36:06,40.21,16.50,16.75
2024-11-11 13:36:16,50.29,17.00,16.50
2024-11-11 13:36:26,60.39,16.75,17.00
2024-11-11 13:36:36,70.49,16.50,16.75
2024-11-11 13:36:46,80.56,16.75,16.75
2024-11-11 13:36:56,90.64,16.25,16.75
2024-11-11 13:37:06,100.70,16.75,16.75
2024-11-11 13:37:16,110.70,16.50,16.75
2024-11-11 13:37:26,120.72,16.75,17.00
2024-11-11 13:37:36,130.73,16.75,17.00
2024-11-11 13:37:46,140.74,16.75,17.00
2024-11-11 13:37:56,150.82,17.00,16.75
2024-11-11 13:38:06,160.82,16.75,16.75
2024-11-11 13:38:16,170.83,17.00,16.50
2024-11-11 13:38:26,180.88,16.75,16.50
2024-11-11 13:38:37,190.93,16.75,16.75
2024-11-11 13:38:47,200.96,16.75,16.50
2024-11-11 13:38:57,211.02,16.75,17.00
2024-11-11 13:39:07,221.03,16.75,16.75
2024-11-11 13:39:17,231.11,17.00,17.00
2024-11-11 13:39:27,241.17,16.75,16.50
2024-11-11 13:39:37,251.20,16.25,17.00
2024-11-11 13:39:47,261.29,17.00,17.00
2024-11-11 13:39:57,271.33,17.00,17.00
2024-11-11 13:40:07,281.41,17.00,16.75
2024-11-11 13:40:17,291.44,16.50,17.25
2024-11-11 13:40:27,301.46,17.00,16.75
2024-11-11 13:40:37,311.52,16.75,17.25
2024-11-11 13:40:47,321.60,16.25,17.25
2024-11-11 13:40:57,331.60,16.50,17.25
2024-11-11 13:41:07,341.65,17.25,17.00
2024-11-11 13:41:17,351.65,16.75,17.25
2024-11-11 13:41:27,361.68,16.75,17.25
2024-11-11 13:41:37,371.69,16.75,17.50
2024-11-11 13:41:47,381.74,17.00,17.25
2024-11-11 13:41:57,391.74,16.75,17.25
2024-11-11 13:42:07,401.78,17.25,17.25
2024-11-11 13:42:17,411.78,17.00,17.25
2024-11-11 13:42:27,421.82,17.25,17.25
2024-11-11 13:42:37,431.86,16.75,17.00
2024-11-11 13:42:47,441.87,16.75,16.75
2024-11-11 13:42:57,451.89,16.75,17.25
2024-11-11 13:43:08,461.99,17.00,17.50
2024-11-11 13:43:18,472.00,17.00,17.25
2024-11-11 13:43:28,482.07,17.25,17.25
2024-11-11 13:43:38,492.07,17.00,17.50
2024-11-11 13:43:48,502.13,17.25,17.00
2024-11-11 13:43:58,512.17,17.00,17.00
2024-11-11 13:44:08,522.20,17.00,17.50
2024-11-11 13:44:18,532.22,17.25,17.50
2024-11-11 13:44:28,542.25,17.00,17.50
