Data/Hora,Segundos,Sensor1,Sensor2,Sensor3
2024-11-19 13:04:45,0.00,12.00,10.00,8.00
2024-11-19 13:04:55,10.03,12.25,10.75,7.00
2024-11-19 13:05:05,20.13,14.50,6.25,10.75
2024-11-19 13:05:15,30.14,12.00,3.25,10.75
2024-11-19 13:05:25,40.16,11.75,3.00,11.50
2024-11-19 13:05:36,50.20,11.50,3.25,11.25
2024-11-19 13:05:46,60.27,9.75,3.75,11.00
2024-11-19 13:05:56,70.35,10.50,3.75,11.50
2024-11-19 13:06:06,80.36,11.25,3.50,11.25
2024-11-19 13:06:16,90.36,11.50,4.00,11.00
2024-11-19 13:06:26,100.39,11.75,3.50,10.75
2024-11-19 13:06:36,110.44,11.50,3.75,11.25
2024-11-19 13:06:46,120.54,11.75,3.75,11.25
2024-11-19 13:06:56,130.55,12.25,4.00,11.50
2024-11-19 13:07:06,140.59,12.25,3.50,11.75
2024-11-19 13:07:16,150.61,11.75,4.25,12.00
2024-11-19 13:07:26,160.62,12.00,4.25,12.00
2024-11-19 13:07:36,170.68,12.50,4.00,12.00
2024-11-19 13:07:46,180.76,12.75,4.50,11.75
2024-11-19 13:07:56,190.81,12.75,4.25,12.50
2024-11-19 13:08:06,200.86,13.25,4.50,12.75
2024-11-19 13:08:16,210.92,12.75,4.50,12.25
2024-11-19 13:08:26,220.96,13.25,4.25,12.75
2024-11-19 13:08:36,231.00,13.50,4.50,12.50
2024-11-19 13:08:46,241.05,13.75,4.75,12.50
2024-11-19 13:08:56,251.13,13.75,5.25,13.00
2024-11-19 13:09:06,261.18,14.00,5.00,12.75
2024-11-19 13:09:17,271.21,13.75,5.00,13.00
2024-11-19 13:09:27,281.22,14.00,5.25,12.75
2024-11-19 13:09:37,291.24,14.00,5.25,13.75
2024-11-19 13:09:47,301.29,14.00,5.00,13.50
2024-11-19 13:09:57,311.30,14.25,5.50,13.75
2024-11-19 13:10:07,321.33,14.75,5.50,13.50
2024-11-19 13:10:17,331.36,14.50,5.75,14.00
2024-11-19 13:10:27,341.36,14.75,5.50,13.75
2024-11-19 13:10:37,351.43,14.75,5.75,13.50
2024-11-19 13:10:47,361.51,14.50,6.25,14.00
2024-11-19 13:10:57,371.51,15.00,5.50,14.00
2024-11-19 13:11:07,381.57,15.25,6.00,14.25
2024-11-19 13:11:17,391.67,10.50,9.00,15.25
2024-11-19 13:11:27,401.69,11.00,9.25,15.50
2024-11-19 13:11:37,411.72,12.00,9.50,15.75
2024-11-19 13:11:47,421.75,11.75,14.75,10.75
2024-11-19 13:11:57,431.77,12.50,13.25,13.25
2024-11-19 13:12:07,441.80,13.25,14.50,11.75
2024-11-19 13:12:17,451.84,13.50,15.00,11.00
2024-11-19 13:12:27,461.85,14.75,14.50,11.75
2024-11-19 13:12:37,471.89,14.75,15.00,12.00
2024-11-19 13:12:47,481.90,15.25,14.75,12.50
2024-11-19 13:12:57,491.92,13.00,15.25,11.75
2024-11-19 13:13:07,501.94,12.75,15.25,12.25
2024-11-19 13:13:17,511.96,12.50,14.75,12.50
2024-11-19 13:13:27,521.99,13.50,13.25,13.25
2024-11-19 13:13:37,532.02,13.75,12.50,14.00
2024-11-19 13:13:47,542.05,13.50,12.50,13.75
2024-11-19 13:13:57,552.08,14.25,12.50,14.25
2024-11-19 13:14:07,562.11,13.75,12.00,14.00
2024-11-19 13:14:18,572.21,14.25,12.00,14.50
2024-11-19 13:14:28,582.24,14.25,12.00,14.25
2024-11-19 13:14:38,592.28,14.25,11.75,14.50
2024-11-19 13:14:48,602.30,13.50,12.50,14.75
2024-11-19 13:14:58,612.33,14.00,12.50,14.50
2024-11-19 13:15:08,622.35,14.75,12.50,14.75
2024-11-19 13:15:18,632.45,14.50,12.50,14.50
2024-11-19 13:15:28,642.48,14.50,12.75,15.00
2024-11-19 13:15:38,652.53,14.50,13.00,15.25
2024-11-19 13:15:48,662.63,14.50,12.75,15.25
2024-11-19 13:15:58,672.64,14.75,12.75,15.00
2024-11-19 13:16:08,682.68,15.00,13.00,15.25
2024-11-19 13:16:18,692.69,15.00,12.50,15.50
2024-11-19 13:16:28,702.74,15.00,13.00,15.00
2024-11-19 13:16:38,712.76,14.75,13.00,15.50
2024-11-19 13:16:48,722.79,15.25,13.25,15.50
2024-11-19 13:16:58,732.88,14.75,13.75,15.75
2024-11-19 13:17:08,742.94,15.00,13.50,15.50
2024-11-19 13:17:18,752.95,15.50,13.50,15.75
2024-11-19 13:17:28,762.97,15.75,13.25,15.75
2024-11-19 13:17:38,772.99,15.50,13.00,15.75
2024-11-19 13:17:48,783.02,15.75,13.50,16.00
2024-11-19 13:17:58,793.05,16.00,13.25,15.50
2024-11-19 13:18:08,803.05,15.50,13.50,16.25
2024-11-19 13:18:18,813.09,15.50,13.00,16.25
2024-11-19 13:18:28,823.13,16.00,13.50,15.75
2024-11-19 13:18:38,833.17,16.25,13.50,16.75
2024-11-19 13:18:49,843.27,16.50,13.75,16.50
2024-11-19 13:18:59,853.28,16.50,13.75,16.50
2024-11-19 13:19:09,863.31,16.50,13.75,16.25
2024-11-19 13:19:19,873.37,15.75,13.50,16.50
2024-11-19 13:19:29,883.46,16.75,13.25,16.75
2024-11-19 13:19:39,893.52,16.75,13.50,16.75
2024-11-19 13:19:49,903.61,16.50,13.25,17.00
2024-11-19 13:19:59,913.62,16.75,13.50,17.00
2024-11-19 13:20:09,923.66,16.75,14.00,16.75
2024-11-19 13:20:19,933.68,16.75,13.75,17.25
2024-11-19 13:20:29,943.68,17.25,14.00,17.50
2024-11-19 13:20:39,953.71,16.75,14.00,17.25
2024-11-19 13:20:49,963.73,15.75,13.75,17.50
2024-11-19 13:20:59,973.78,16.25,13.75,18.25
2024-11-19 13:21:09,983.80,16.00,14.25,17.50
2024-11-19 13:21:19,993.83,15.50,14.50,18.75
2024-11-19 13:21:29,1003.93,16.25,15.50,17.50
2024-11-19 13:21:39,1013.96,16.25,15.50,17.00
2024-11-19 13:21:49,1023.98,16.50,15.75,16.00
2024-11-19 13:21:59,1034.00,16.25,16.00,16.50
2024-11-19 13:22:09,1044.03,16.00,16.25,16.75
2024-11-19 13:22:19,1054.05,16.25,16.50,17.00
2024-11-19 13:22:29,1064.07,16.25,16.25,17.00
2024-11-19 13:22:39,1074.13,16.00,16.50,16.50
2024-11-19 13:22:50,1084.23,16.50,16.50,17.25
2024-11-19 13:23:00,1094.23,16.25,16.75,17.25
2024-11-19 13:23:10,1104.26,16.00,15.75,18.50
2024-11-19 13:23:20,1114.29,16.50,15.50,18.50
2024-11-19 13:23:30,1124.31,17.50,17.75,20.00
2024-11-19 13:23:40,1134.34,18.75,24.00,19.25
2024-11-19 13:23:50,1144.37,23.00,18.50,23.50
2024-11-19 13:24:00,1154.41,22.00,24.50,22.50
2024-11-19 13:24:10,1164.47,22.00,24.50,22.00
2024-11-19 13:24:20,1174.48,21.50,23.25,23.25
